FECHA,HORA,PRECIO,TERMICA,HIDRAULICA,SOLAR,COGENERADOR,EOLICA
2024-09-23,8,934.5,3738529.4499999997,5105440.8,875978.86,99673.84,2941.89
2024-09-23,9,934.5,3700405.69,5123259.15,1105891.02,92484.26000000001,2332.8199999999997
2024-09-23,10,934.51,3664580.71,5472728.97,1140370.1199999999,85745.44,12214.25
2024-09-23,11,934.52,3630026.1,5803877.64,1170085.32,91429.53,19979.16
2024-09-23,12,934.51,3672426.21,5634297.0200000005,1222199.6,98641.29,16062.84
2024-09-23,13,934.52,3749105.5900000003,5758611.63,1195137.3800000001,97937.64,15196.78
2024-09-23,14,934.52,3774573.48,5998111.58,1210887.66,96980.98999999999,11630.65
2024-09-23,15,934.52,3828547.76,6118561.93,1143318.19,99594.35,9216.5
2024-09-23,16,934.53,3835067.2,6500201.4799999995,605384.29,100072.70999999999,8517.42
2024-09-23,17,934.53,3772915.8,6778429.56,100542.26,106362.18000000001,6115.16
2024-09-23,18,934.55,3554013.85,7738638.46,51.84,102813.51,8288.43
2024-09-23,19,934.55,3588343.2,7702547.06,0.0,109323.39,10518.31
2024-09-23,20,934.55,3588111.79,7588158.4,0.0,109334.79999999999,3297.67
2024-09-23,21,934.55,3589863.7800000003,7197559.92,0.0,112222.31,4977.15
2024-09-23,22,934.52,3477884.16,6686967.9,0.0,111723.88,3878.16
2024-09-23,23,934.52,3471082.55,6126078.65,0.0,111492.47,2820.41
2024-09-24,0,934.71,3491246.2,5270260.04,0.0,111655.13,5111.21
2024-09-24,1,931.8,3470536.83,5053727.85,0.0,108396.18000000001,4361.29
2024-09-24,2,931.8,3473571.96,4861713.35,0.0,113840.64,7069.18
2024-09-24,3,931.8,3623120.9,4781532.54,0.0,113015.23999999999,10450.279999999999
2024-09-24,4,933.8,3660477.14,4975626.64,0.0,112705.75,8721.66
2024-09-24,5,934.71,3800029.46,5175641.13,2888.52,112581.95,8969.57
2024-09-24,6,934.71,3854395.65,4919999.93,263602.35,106066.34,9207.189999999999
2024-09-24,7,933.8,3824455.64,4717611.649999999,855015.5700000001,110515.29999999999,6069.88
2024-09-24,8,934.71,3795765.29,4791271.19,1272285.12,110987.73,1752.8899999999999
2024-09-24,9,934.72,3788183.17,5254812.92,1375666.21,109421.66,3186.4100000000003
2024-09-24,10,934.72,3801701.3200000003,5665736.26,1369104.44,109498.92,14295.61
2024-09-24,11,934.74,3798010.59,6005181.17,1259143.53,110267.4,11263.380000000001
2024-09-24,12,934.72,3699724.03,5945241.33,1327553.65,106688.43,14837.189999999999
2024-09-24,13,934.72,3667853.1,6192515.12,1310906.19,106921.54000000001,22359.43
2024-09-24,14,934.74,3603564.02,6739023.16,1050638.05,108785.7,28300.1
2024-09-24,15,934.74,3559998.98,7271864.83,555764.22,100632.01,27368.29
2024-09-24,16,934.74,3575236.06,7312194.78,309272.48,90815.66,27729.03
2024-09-24,17,934.74,3544678.36,7152862.86,66877.41,102922.27,27298.34
2024-09-24,18,934.75,3661355.97,7614263.51,5.59,105157.07999999999,27505.1
2024-09-24,19,934.75,3696528.2,7662962.97,0.0,110125.23,19025.94
2024-09-24,20,934.75,3722312.34,7511475.77,0.0,108690.01000000001,5924.45
2024-09-24,21,934.74,3730395.4,7100470.53,0.0,111862.29000000001,5419.4
2024-09-24,22,934.74,3699633.09,6539014.81,0.0,112494.79000000001,1823.81
2024-09-24,23,934.72,3637613.2800000003,6019845.069999999,0.0,112477.48999999999,328.34000000000003
2024-09-25,0,906.28,3610779.54,5418144.83,0.0,109899.3,4767.46
2024-09-25,1,905.78,3763862.79,5081787.890000001,0.0,109697.67,12785.380000000001
2024-09-25,2,905.78,3837834.76,4813112.9399999995,0.0,112158.06,10992.49
2024-09-25,3,905.78,3837615.34,4708403.53,0.0,110894.13,7517.86
2024-09-25,4,905.78,3846748.71,4832437.4,0.0,113687.63,9559.7
2024-09-25,5,906.28,3842572.45,5181360.83,1048.91,117562.70999999999,8534.210000000001
2024-09-25,6,906.28,3849222.95,5134937.3,195528.88,116302.64,5801.6
2024-09-25,7,905.78,3868440.31,5045611.04,727526.12,108135.53,6902.57
2024-09-25,8,906.28,3879127.2,5293408.5,942345.37,107097.21,5792.24
2024-09-25,9,934.69,3883501.9899999998,5501032.36,1041088.42,110564.29000000001,4463.3
2024-09-25,10,934.69,3841055.6,5841109.89,996709.71,108777.72,8631.74
2024-09-25,11,934.7,3722590.62,6197660.07,965707.67,106577.73,13291.48
2024-09-25,12,934.7,3726751.02,6137778.48,848642.19,111623.17,17281.2
2024-09-25,13,934.74,3693904.86,6389322.75,743283.08,106941.69,15346.36
2024-09-25,14,934.75,3659349.41,6649284.22,674195.92,108997.6,20558.43
2024-09-25,15,934.75,3654112.1,6927089.05,417847.83,111765.6,25684.81
2024-09-25,16,934.75,3665573.62,6953274.44,222790.58000000002,112352.9,26705.36
2024-09-25,17,934.75,3689117.93,6903224.68,46318.47,110682.14,24901.81
2024-09-25,18,934.75,3733944.96,7457101.54,16.89,111363.77,22303.18
2024-09-25,19,934.8,3637286.73,7590413.07,0.0,110580.59,18396.1
2024-09-25,20,934.75,3709022.41,7348188.49,0.0,111789.48999999999,17400.82
2024-09-25,21,934.75,3786859.95,6877874.23,0.0,116048.20999999999,13655.9
2024-09-25,22,934.7,3785437.65,6268288.39,0.0,109464.6,3623.1
2024-09-25,23,934.69,3754970.85,5701881.11,0.0,108477.72,1232.69
2024-09-26,0,905.69,3637550.57,4934102.34,0.0,107487.45999999999,767.33
