Fecha,Recurso,Código Agente,Combustible,Consumo Combustible (MBTU),Version
2020-01-05,PAIPA 1,HIMG,CARBON,6327.980915,TX5
2020-01-05,PAIPA 2,HIMG,CARBON,18811.05489,TX5
2020-01-05,PAIPA 3,HIMG,CARBON,10761.6659,TX5
2020-01-05,PAIPA 4,SOCG,CARBON,36445.99454,TX5
2020-01-05,PROELECTRICA 1,PRIG,GAS,5590,TX5
2020-01-05,TASAJERO 1,TRMG,CARBON,13093.36424,TX5
2020-01-05,TASAJERO 2,TERG,CARBON,294.178366,TX5
2020-01-05,TEBSAB,TBSG,GAS,56859.7401,TX5
2020-01-05,TEBSAB,TBSG,GAS NI,0,TX5
2020-01-05,TERMOCANDELARIA 1,TCIG,GAS,5756,TX5
2020-01-05,TERMOCANDELARIA 1,TCIG,ACPM,0,TX5
2020-01-05,TERMOCANDELARIA 1,TCIG,GAS NI,0,TX5
2020-01-05,TERMOCANDELARIA 2,TCIG,GAS,5957,TX5
2020-01-05,TERMOCANDELARIA 2,TCIG,GAS NI,0,TX5
2020-01-05,TERMOCANDELARIA 2,TCIG,ACPM,0,TX5
2020-01-05,TERMOCENTRO CC,ISGG,GAS,0,TX5
2020-01-05,TERMOCENTRO CC,ISGG,QUEROSENE,0,TX5
2020-01-05,TERMODORADA 1,EPMG,GAS,0,TX5
2020-01-05,TERMODORADA 1,EPMG,ACPM,0,TX5
2020-01-05,TERMOEMCALI 1,TEMG,GAS,0,TX5
2020-01-05,TERMONORTE,TMNG,GAS,9108.25,TX5
2020-01-05,TERMONORTE,TMNG,ACPM,227.47,TX5
2020-01-05,TERMONORTE,TMNG,COMBUSTOLEO,0,TX5
2020-01-05,TERMOSIERRAB,EPMG,ACPM,0,TX5
2020-01-05,TERMOSIERRAB,EPMG,GAS,36716.44,TX5
2020-01-05,TERMOVALLE 1,TMVG,GAS,0,TX5
2020-01-05,TERMOVALLE 1,TMVG,ACPM,0,TX5
2020-01-05,TERMOYOPAL 2,TYPG,GAS,9684.01,TX5
2020-01-05,ZIPAEMG 3,ENDG,CARBON,14628.30845,TX5
2020-01-05,ZIPAEMG 4,ENDG,CARBON,18860.86154,TX5
2020-01-06,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-06,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-06,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-06,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-06,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-06,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-06,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-06,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-06,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-06,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-06,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-06,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-06,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-06,FLORES 1,TMFG,GAS,0,TX5
2020-01-06,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-06,FLORES 4B,TMFG,GAS,41715.32,TX5
2020-01-06,GECELCA 3,GECG,CARBON,41535.26,TX5
2020-01-06,GECELCA 32,GECG,CARBON,58759.7,TX5
2020-01-06,GUAJIRA 1,GECG,GAS,6879.73,TX5
2020-01-06,GUAJIRA 1,GECG,CARBON,7908.13,TX5
2020-01-06,GUAJIRA 2,GECG,CARBON,17064.65,TX5
2020-01-06,GUAJIRA 2,GECG,GAS,7629.54,TX5
2020-01-06,MERILECTRICA 1,EPSG,GAS,0,TX5
2020-01-06,PAIPA 1,HIMG,CARBON,8477.198089,TX5
2020-01-06,PAIPA 2,HIMG,CARBON,21506.41145,TX5
2020-01-06,PAIPA 3,HIMG,CARBON,16703.26578,TX5
2020-01-06,PAIPA 4,SOCG,CARBON,36733.22641,TX5
2020-01-06,PROELECTRICA 1,PRIG,GAS,326,TX5
2020-01-06,TASAJERO 1,TRMG,CARBON,13374.10134,TX5
2020-01-06,TEBSAB,TBSG,GAS,71323.5133,TX5
2020-01-06,TEBSAB,TBSG,GAS NI,0,TX5
2020-01-06,TERMOCANDELARIA 1,TCIG,GAS,1202,TX5
2020-01-06,TERMOCANDELARIA 1,TCIG,ACPM,0,TX5
2020-01-06,TERMOCANDELARIA 1,TCIG,GAS NI,0,TX5
2020-01-06,TERMOCANDELARIA 2,TCIG,GAS,0,TX5
2020-01-06,TERMOCANDELARIA 2,TCIG,ACPM,0,TX5
2020-01-06,TERMOCANDELARIA 2,TCIG,GAS NI,0,TX5
2020-01-06,TERMOCENTRO CC,ISGG,GAS,0,TX5
2020-01-06,TERMOCENTRO CC,ISGG,QUEROSENE,0,TX5
2020-01-06,TERMODORADA 1,EPMG,ACPM,0,TX5
2020-01-06,TERMODORADA 1,EPMG,GAS,0,TX5
2020-01-06,TERMOEMCALI 1,TEMG,GAS,0,TX5
2020-01-06,TERMONORTE,TMNG,ACPM,62.87,TX5
2020-01-06,TERMONORTE,TMNG,GAS,1661.67,TX5
2020-01-06,TERMONORTE,TMNG,COMBUSTOLEO,0,TX5
2020-01-06,TERMOSIERRAB,EPMG,GAS,36686.442,TX5
2020-01-06,TERMOSIERRAB,EPMG,ACPM,0,TX5
2020-01-06,TERMOVALLE 1,TMVG,ACPM,0,TX5
2020-01-06,TERMOVALLE 1,TMVG,GAS,0,TX5
2020-01-06,TERMOYOPAL 2,TYPG,GAS,9657.59,TX5
2020-01-06,ZIPAEMG 2,ENDG,CARBON,5742.320493,TX5
2020-01-06,ZIPAEMG 3,ENDG,CARBON,11090.40564,TX5
2020-01-06,ZIPAEMG 4,ENDG,CARBON,12422.38726,TX5
2020-01-06,ZIPAEMG 5,ENDG,CARBON,6289.307169,TX5
2020-01-07,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-07,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-07,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-07,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-07,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-07,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-07,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-07,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-07,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-07,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-07,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-07,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-07,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-07,FLORES 1,TMFG,GAS,0,TX5
2020-01-07,FLORES 4B,TMFG,GAS,32185.07,TX5
2020-01-07,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-07,GECELCA 3,GECG,CARBON,40217.02,TX5
2020-01-07,GECELCA 32,GECG,CARBON,62158.68,TX5
2020-01-07,GUAJIRA 1,GECG,GAS,6858.18,TX5
2020-01-07,GUAJIRA 1,GECG,CARBON,22461.61,TX5
2020-01-07,GUAJIRA 2,GECG,CARBON,28140.44,TX5
2020-01-07,GUAJIRA 2,GECG,GAS,3497.55,TX5
2020-01-07,MERILECTRICA 1,EPSG,GAS,0,TX5
2020-01-07,PAIPA 1,HIMG,CARBON,10687.75691,TX5
2020-01-07,PAIPA 2,HIMG,CARBON,21339.54235,TX5
2020-01-07,PAIPA 3,HIMG,CARBON,17986.12839,TX5
2020-01-07,PAIPA 4,SOCG,CARBON,36696.13039,TX5
2020-01-07,PROELECTRICA 1,PRIG,GAS,7001,TX5
2020-01-07,TASAJERO 1,TRMG,CARBON,13394.99199,TX5
2020-01-07,TASAJERO 2,TERG,CARBON,20286.16082,TX5
2020-01-07,TEBSAB,TBSG,GAS,91571.3152,TX5
2020-01-07,TEBSAB,TBSG,GAS NI,0,TX5
2020-01-07,TERMOCANDELARIA 1,TCIG,GAS,0,TX5
2020-01-07,TERMOCANDELARIA 1,TCIG,ACPM,0,TX5
2020-01-07,TERMOCANDELARIA 1,TCIG,GAS NI,0,TX5
2020-01-07,TERMOCANDELARIA 2,TCIG,ACPM,0,TX5
2020-01-07,TERMOCANDELARIA 2,TCIG,GAS NI,0,TX5
2020-01-07,TERMOCANDELARIA 2,TCIG,GAS,0,TX5
2020-01-07,TERMOCENTRO CC,ISGG,QUEROSENE,0,TX5
2020-01-07,TERMOCENTRO CC,ISGG,GAS,0,TX5
2020-01-07,TERMODORADA 1,EPMG,ACPM,0,TX5
2020-01-07,TERMODORADA 1,EPMG,GAS,0,TX5
2020-01-07,TERMOEMCALI 1,TEMG,GAS,0,TX5
2020-01-07,TERMONORTE,TMNG,COMBUSTOLEO,0,TX5
2020-01-07,TERMONORTE,TMNG,GAS,0,TX5
2020-01-07,TERMONORTE,TMNG,ACPM,0,TX5
2020-01-07,TERMOSIERRAB,EPMG,GAS,36613.067,TX5
2020-01-07,TERMOSIERRAB,EPMG,ACPM,0,TX5
2020-01-07,TERMOVALLE 1,TMVG,ACPM,0,TX5
2020-01-07,TERMOVALLE 1,TMVG,GAS,0,TX5
2020-01-07,TERMOYOPAL 2,TYPG,GAS,9683.36,TX5
2020-01-07,ZIPAEMG 2,ENDG,CARBON,12063.31697,TX5
2020-01-07,ZIPAEMG 4,ENDG,CARBON,18944.07743,TX5
2020-01-07,ZIPAEMG 5,ENDG,CARBON,16277.52615,TX5
2020-01-08,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-08,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-08,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-08,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-08,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-08,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-08,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-08,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-08,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-08,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-08,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-08,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-08,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-08,FLORES 1,TMFG,GAS,0,TX5
2020-01-08,FLORES 4B,TMFG,GAS,11598.48,TX5
2020-01-08,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-08,GECELCA 3,GECG,CARBON,42550.8,TX5
2020-01-08,GECELCA 32,GECG,CARBON,61506.04,TX5
2020-01-08,GUAJIRA 1,GECG,CARBON,20889.11,TX5
2020-01-08,GUAJIRA 1,GECG,GAS,8478.58,TX5
2020-01-08,GUAJIRA 2,GECG,GAS,1884.23,TX5
2020-01-08,GUAJIRA 2,GECG,CARBON,31459.56,TX5
2020-01-08,MERILECTRICA 1,EPSG,GAS,0,TX5
